       ,     ,Loewe_score ,Loewe_score ,Loewe_score ,Loewe_score ,Loewe_score ,Loewe_score ,Loewe_score       ,Loewe_score ,Loewe_score ,Loewe_score
       ,     ,AUCPR       ,AUROC       ,F1          ,MCC         ,Kappa       ,Accuracy    ,Balanced_Accuracy ,Specificity ,Precision   ,Recall
repeat ,fold ,            ,            ,            ,            ,            ,            ,                  ,            ,            ,
0      ,0    ,0.5646      ,0.7967      ,0.465       ,0.3781      ,0.3585      ,0.8089      ,0.6527            ,0.9377      ,0.6327      ,0.3676
0      ,1    ,0.5492      ,0.7914      ,0.4394      ,0.347       ,0.3285      ,0.8004      ,0.6396            ,0.9329      ,0.601       ,0.3463
0      ,2    ,0.55        ,0.7947      ,0.4614      ,0.3639      ,0.3489      ,0.803       ,0.6509            ,0.9284      ,0.6034      ,0.3734
0      ,3    ,0.5693      ,0.8016      ,0.4716      ,0.3764      ,0.361       ,0.8065      ,0.6563            ,0.9304      ,0.6156      ,0.3822
0      ,4    ,0.5634      ,0.7964      ,0.4926      ,0.3979      ,0.3837      ,0.8117      ,0.6675            ,0.9306      ,0.6299      ,0.4045
1      ,0    ,0.5601      ,0.7914      ,0.4626      ,0.375       ,0.3556      ,0.808       ,0.6514            ,0.9371      ,0.6294      ,0.3657
1      ,1    ,0.5408      ,0.7891      ,0.4469      ,0.3509      ,0.3344      ,0.8004      ,0.6434            ,0.9298      ,0.5974      ,0.3569
1      ,2    ,0.5614      ,0.7961      ,0.4795      ,0.3786      ,0.3662      ,0.8054      ,0.6607            ,0.9247      ,0.6059      ,0.3967
1      ,3    ,0.5444      ,0.7928      ,0.4579      ,0.3608      ,0.3454      ,0.8023      ,0.6491            ,0.9287      ,0.6019      ,0.3695
1      ,4    ,0.5547      ,0.7945      ,0.4592      ,0.371       ,0.3516      ,0.8069      ,0.6497            ,0.9366      ,0.6254      ,0.3628
2      ,0    ,0.5531      ,0.7864      ,0.467       ,0.3749      ,0.3578      ,0.8069      ,0.6538            ,0.9332      ,0.6206      ,0.3744
2      ,1    ,0.5497      ,0.7876      ,0.4262      ,0.3535      ,0.3248      ,0.8058      ,0.6335            ,0.9479      ,0.6413      ,0.3191
2      ,2    ,0.5568      ,0.7927      ,0.4618      ,0.3659      ,0.3502      ,0.8039      ,0.6511            ,0.9298      ,0.6076      ,0.3725
2      ,3    ,0.5538      ,0.7949      ,0.4649      ,0.3693      ,0.3536      ,0.8047      ,0.6527            ,0.9301      ,0.6104      ,0.3754
2      ,4    ,0.5557      ,0.7961      ,0.4473      ,0.3599      ,0.3395      ,0.8045      ,0.6436            ,0.9371      ,0.6192      ,0.3501
