,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.5039,0.77,0.3977,0.3165,0.2941,0.8036,0.6214,0.9405,0.5811,0.3023
0,1,0.4426,0.7278,0.3321,0.2748,0.2393,0.7998,0.5934,0.9549,0.5841,0.232
0,2,0.4932,0.7475,0.38,0.3193,0.286,0.8081,0.614,0.9539,0.619,0.2742
0,3,0.4745,0.7449,0.3388,0.2821,0.2463,0.8014,0.5963,0.9554,0.5921,0.2373
0,4,0.4719,0.7534,0.4171,0.3394,0.316,0.8093,0.6307,0.9434,0.6054,0.3181
1,0,0.4813,0.7554,0.4169,0.3254,0.3085,0.8029,0.6305,0.9323,0.5701,0.3286
1,1,0.4687,0.7475,0.4179,0.3101,0.2997,0.7942,0.6307,0.917,0.5312,0.3445
1,2,0.4822,0.7478,0.3788,0.3006,0.2762,0.801,0.6127,0.9424,0.573,0.283
1,3,0.4691,0.7448,0.3584,0.2884,0.2595,0.8002,0.6039,0.9477,0.5759,0.2601
1,4,0.4723,0.7429,0.3853,0.3138,0.2862,0.8051,0.616,0.9472,0.5956,0.2847
2,0,0.4962,0.769,0.4253,0.315,0.3058,0.7942,0.6346,0.9141,0.5302,0.355
2,1,0.4724,0.7582,0.3924,0.3201,0.2932,0.8063,0.6192,0.9467,0.5993,0.2917
2,2,0.4867,0.753,0.4093,0.3338,0.309,0.8085,0.6271,0.9448,0.6048,0.3093
2,3,0.4672,0.7337,0.3977,0.3115,0.2914,0.8014,0.6212,0.9367,0.5686,0.3058
2,4,0.4666,0.7481,0.4275,0.3247,0.3129,0.7991,0.6358,0.9218,0.5497,0.3497
